Serial No,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
8047,334030,Satellite,Ahmedabad,D And C Frankie,400,2.9,80,Snacks,Vastrapur,49
8048,334172,Shanti Nagar,Bangalore,Rajasthani Dhaba,200,3.8,100,North Indian,Shantinagar,40
8049,334347,Bidhannagar,Kolkata,Frozen Bottle,250,4.1,20,"Beverages,Ice Cream,Desserts",Sector-2,65
8050,335325,Abids,Hyderabad,Natural Ice Cream,150,4.3,100,Ice Cream,Abids,33
8051,335655,Mohammed Wadi,Pune,La Kheer Deli,150,2.9,80,Desserts,Kondhwa,67
8052,336063,Banjara Hills,Hyderabad,Haldirams,200,4.3,500,"Snacks,Indian",Banjara Hills,63
8053,336065,Karkhana,Hyderabad,Haldirams,250,4.3,1000,Indian  Fast Food,Kharkhana & Trimulgherry,67
8054,336517,Athwa,Surat,Go Punjab,300,2.9,80,"Punjabi,North Indian,Combo,Thalis",City Light,46
8055,337008,Padma Nagar Colony,Hyderabad,Mjr Pan Shop,100,4.2,20,"Paan,Indian",Santoshnagar & Saidabad,67
8056,337668,Tagore Garden Extension,Delhi,Cake World,300,2.9,80,"Desserts,Snacks,Continental",Rajouri Garden,74
8057,338103,Rohini,Delhi,Shree Vaishno Rasoi,250,4.3,20,"Tandoor,Chinese,Biryani",Rohini,50
8058,338386,Vastral,Ahmedabad,Shree Atalji Khana Khajana,200,3.9,20,North Indian,Vastral,73
8059,338685,Bidhannagar,Kolkata,So Southy,300,4,100,"South Indian,Jain,Desserts,Beverages",Salt Lake,81
8060,339560,Santacruz East,Mumbai,Burma Burma,1000,4.6,100,"Asian,Burmese",Scruz Bandra East,52
8061,339637,New Alipore,Kolkata,Muah Fuchka,300,3.9,100,Indian,Alipore,84
8062,339770,Umarwada,Surat,Swaminarayan Khichdi,200,2.9,80,"North Indian,Juices,Combo",Parvat Patiya,43
8063,340197,Tagore Garden Extension,Delhi,Murthal Xpress,250,3.8,100,"North Indian,Chaat,Thalis,Tandoor,Indian,Desserts",Rajouri Garden,74
8064,340288,Karve Nagar,Pune,Coffee Booth,200,4.4,20,Beverages,Kothrud,48
8065,340451,Central Bangalore,Bangalore,Thalis  Bowls & More,300,2.9,80,"Pizzas,North Indian,American,Thalis,Beverages,Combo,Punjabi",Central Bangalore,50
8066,340615,Central Kolkata,Kolkata,Bhimnag'S Brother Sreenath Nag,200,4.1,50,Indian,Bhattacharyya Road,43
8067,341033,Rithala Rohini,Delhi,Bakingo,300,4.3,500,"Bakery,Desserts,Beverages,Snacks",Rohini,38
8068,341078,Anna Nagar,Chennai,Bamboo Kitchen,400,4.2,50,"Chinese,Thai",Annanagar,71
8069,341232,Ellisbridge,Ahmedabad,London Yard Pizza,700,4,50,"Pizzas,American,Italian",Paldi & Ambawadi,30
8070,341472,Rabindra Sarovar,Kolkata,The Spice Factory,250,3.4,50,"North Indian,Beverages",Jadavpur,85
8071,341805,Himayatnagar,Hyderabad,Cake L'Amore,200,4.1,500,"Bakery,Beverages,Desserts",Himayath Nagar,42
8072,341858,Kilpauk,Chennai,Vanakkam,100,2.9,80,"South Indian,Snacks",Kilpauk,52
8073,342025,Sion,Mumbai,Dessert Cloud - Sion,400,4.2,100,Desserts  Beverages,Sion,43
8074,342719,Naroda,Ahmedabad,Cake Point,100,2.9,80,"Bakery,Desserts,Combo,Indian",Naroda,78
8075,342720,Naroda,Ahmedabad,Agarwal Cake & Bakery,100,2.9,80,"Bakery,Desserts,Combo,Indian",Naroda,79
8076,342744,Kuber Nagar,Ahmedabad,Cake Corner,100,2.9,80,"Bakery,Desserts,Combo,Indian",Naroda,79
8077,342814,Kuber Nagar,Ahmedabad,Cake Adda,100,2.9,80,"Bakery,Desserts,Combo,Indian",Naroda,80
8078,342909,Haltu,Kolkata,New Maa Kali South Indian Food Centre,400,3,20,South Indian,Santoshpur,88
8079,343565,Isanpur,Ahmedabad,Cake Corner,100,2.9,80,"Desserts,Bakery,Combo,Indian",Isanpur,78
8080,343566,Kuber Nagar,Ahmedabad,Cake Adda,100,2.9,80,"Bakery,Desserts,Combo,Indian",Naroda,80
8081,343567,Kuber Nagar,Ahmedabad,Cake Walas,100,2.9,80,"Bakery,Desserts,Combo,Indian",Naroda,81
8082,343594,Rajajinagar,Bangalore,Sicilia Pont (Italian Restaurant ),300,4,20,"Pizzas,Italian,Desserts,Beverages,Fast Food,Snacks",Rajajinagar,55
8083,343858,Kurla,Mumbai,Cake Corner & Bakery,100,2.9,80,"Bakery,Desserts,Combo,Indian",Kurla West,44
8084,344757,New Alipore,Kolkata,Jyoti Sweets & Snacks,100,2.9,80,Sweets,Bp Poddar Hospital,81
8085,345540,Egmore,Chennai,Munchberry,100,2.9,80,"Bakery,Indian,Snacks",Sindur Plaza,39
8086,345639,Kankurgachi,Kolkata,Tewari Confectioners Mithaiwala Pvt Ltd,150,4.4,500,Sweets  Chaat  Fast Food  Snacks,Burrabazar,39
8087,346078,Lake Town,Kolkata,The Red Asian,300,4.3,100,"Chinese,Combo,Continental,Fast Food,Snacks,Pastas,North Indian,Indian",Bangur Avenue,74
8088,346309,Isanpur,Ahmedabad,Cheeze Adda,400,2.9,80,North Indian,Isanpur,53
8089,346529,Paldi,Ahmedabad,Star The Cake Shop,200,2.9,80,"Bakery,Desserts",Paldi & Ambawadi,35
8090,347235,Kurla,Mumbai,Cake Corner,100,2.9,80,"Bakery,Desserts,Combo,Indian",Kurla West,41
8091,347416,Egmore,Chennai,Tea Liteful,200,4.6,20,"Beverages,Snacks,Continental",Egmore,40
8092,347553,Gopalapuram,Chennai,Annavilasam Gourmet Veg,200,4.4,100,"South Indian,North Indian,Oriental,Snacks",Royapettah,56
8093,347621,Athwa,Surat,La Pino'Z Pizza,300,4.3,500,"Pizzas,Italian,Snacks,Desserts,Beverages",Parle Point,46
8094,348570,Mota Varachha,Surat,Bombay Grill,400,2.9,80,"Pizzas,Fast Food",Mota Varachha,64
8095,349062,Periyamet,Chennai,Binge Pop,200,2.9,80,Continental,Purasawalkam,37
8096,349173,Perambur,Chennai,Bon Appet-Eat,200,2.9,80,"Snacks,American,Beverages,Desserts",Perambur,72
8097,349791,Navrangpura,Ahmedabad,Johnny Da Dhaba,200,2.9,80,"Indian,North Indian,Chinese",Navrangpura,38
8098,349802,Bhowanipore,Kolkata,Dhaba Walla,300,3.1,20,"North Indian,Tandoor,Fast Food,Combo,Chinese",Central Kolkata,69
8099,350979,Barabazar Market,Kolkata,Amritsari,300,4.2,20,"North Indian,Punjabi",Burrabazar,45
8100,351022,Old Washermanpet,Chennai,Hotel Shanmuga,200,2.9,80,South Indian,Royapuram,59
8101,351123,Bandra East,Mumbai,Grameen Kulfi,120,4.4,50,"Ice Cream,Desserts",Hsg Society,38
8102,351392,Chetpet,Chennai,Kailash Parbat,300,4.1,500,"Fast Food,North Indian,Street Food",Chetpet,55
8103,352002,Vatva,Ahmedabad,Mom'S Boys Cafe,200,2.9,80,"Indian,Pizzas,Beverages",Vatva,80
8104,352546,Nanpura,Surat,Center Point -Gandhi Smruti,200,4.1,1000,"Chinese,Pizzas,Continental,Indian,Street Food,Thalis",Athwa,28
8105,352561,Vastrapur,Ahmedabad,Bhog,200,2.9,80,"North Indian,Rajasthani,Chaat,Fast Food",Vastrapur,49
8106,353098,Rohini,Delhi,Cuoco,350,2.9,80,"Continental,Beverages,Italian,Fast Food",Rohini,55
8107,353575,Chembur,Mumbai,Keventers Ice Cream,300,3.9,20,Ice Cream  Desserts,Sion Trombay Road,46
8108,354703,Saki Naka,Mumbai,Keventers Ice Cream,300,2.9,80,"Ice Cream,Desserts",Phoenix Market City,56
8109,354746,Kurla,Mumbai,Cake Factory,100,2.9,80,"Bakery,Desserts,Indian,Combo,Sweets",Kurla West,42
8110,354753,Kurla,Mumbai,Bonjour Cakes,100,2.9,80,"Bakery,Indian,Desserts,Combo,Sweets",Kurla West,42
8111,354754,Kurla,Mumbai,Cake Adda,100,2.9,80,"Indian,Bakery,Desserts,Combo,Sweets",Kurla West,45
8112,354757,Kurla,Mumbai,Cake Paradise,100,2.9,80,"Indian,Bakery,Desserts,Combo,Sweets",Kurla West,51
8113,355352,Paschim Vihar,Delhi,Grameen Kulfi,120,4.3,20,"Ice Cream,Desserts",Paschim Vihar,34
8114,355702,T Nagar,Chennai,Sugarcane Jks Shop,200,2.9,80,"Street Food,Indian,Beverages",T Nagar,88
8115,355747,Narayanguda,Hyderabad,Grameen Kulfi,120,4.4,100,"Ice Cream,Desserts",Kmit,24
8116,355757,Kothapet,Hyderabad,Grameen Kulfi,120,4.5,100,Ice Cream  Desserts,Magic Spoons Enterprises,46
